Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US06012,1WSKBB2,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.77,Microsoft Windows 7 Professional x64,,,2019-03-25 23:59:59,Active,,,,,,
ETX21844,1XBDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.94,Microsoft Windows 7 Professional x64,,,2017-02-18 23:59:59,Expired,,,,,,
US06013,1XVGCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.104,Microsoft Windows 7 Professional x64,,,2017-02-18 23:59:59,Expired,,,,,,
ETX21850,1XWGCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.107,Microsoft Windows 7 Professional x64,,,2017-01-17 23:59:59,Expired,,,,,,
ETX21852,1Y8DCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.109,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21849,1ZYDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.122,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21856,22BDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.88,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
US06011,22RGCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.85,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21870,22WCCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.101,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21847,23MFCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.130,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21842,23PDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.71,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21868,23YDCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.95,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21869,244DCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.98,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21867,246FCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.93,Microsoft Windows 7 Professional x64,,,2017-02-26 23:59:59,Expired,,,,,,
ETX21866,256FCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.148,Microsoft Windows 7 Professional x64,,,2017-02-21 23:59:59,Expired,,,,,,
US07581,2DPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.97,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
US30293,2FJG082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.81,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30721,2FLG082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.75,Microsoft Windows 7 Professional x64,,,2018-12-28 23:59:59,Active,,,,,,
US30295,2FMK082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.115,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30286,2FNK082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.80,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30298,2FRL082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.90,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30294,2FYJ082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.123,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US01651,2Q4TD22,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.157,Microsoft Windows 7 Professional x64,,,2018-03-26 23:59:59,Active,,,,,,
ETX17994,2UA3242L74,Hewlett-Packard,HP Compaq Pro 6300 SFF,Unassigned,,10.3.7.111,Microsoft Windows 7 Professional x64,,,,No Warranty,,,,,,
US06009,3R76DZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.64,Microsoft Windows 7 Professional x64,,,2017-01-02 23:59:59,Expired,,,,,,
US01668,3ZLDL02,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.116,Microsoft Windows 7 Professional x64,,,2017-08-09 23:59:59,Expired,,,,,,
US06014,47FLL02,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.139,Microsoft Windows 7 Professional x64,,,2017-08-09 23:59:59,Expired,,,,,,
US01643,4LDKK32,Dell Inc.,Latitude E7440,Unassigned,,10.3.7.78,Microsoft Windows 7 Professional x64,,,2018-01-07 23:59:59,Active,,,,,,
US07579,4PPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.96,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
US07576,4VSTG42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.65,Microsoft Windows 7 Professional x64,,,2018-06-24 23:59:59,Active,,,,,,
US07565,5JPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.117,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
US06008,6BYRP52,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.84,Microsoft Windows 7 Professional x64,,,2018-09-28 23:59:59,Active,,,,,,
US06024,7FCGXK2,Dell Inc.,OptiPlex 3050,Unassigned,,10.3.7.128,Microsoft Windows 7 Professional x64,,,2020-08-31 23:59:59,Active,,,,,,
US30468,7HHGN52,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.102,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US01650,7Q4TD22,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.154,Microsoft Windows 7 Professional x64,,,2018-03-26 23:59:59,Active,,,,,,
US06007,7V9KV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.129,Microsoft Windows 7 Professional x64,,,2018-08-19 23:59:59,Active,,,,,,
US07564,8N4TD22,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.155,Microsoft Windows 7 Professional x64,,,2018-03-26 23:59:59,Active,,,,,,
ETX21858,99LGCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.68,Microsoft Windows 7 Professional x64,,,2017-01-14 23:59:59,Expired,,,,,,
ETX17998,9M3R9Z1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.118,Microsoft Windows 7 Professional x64,,,2016-11-12 23:59:59,Expired,,,,,,
US07574,9QGMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.119,Microsoft Windows 7 Professional x64,,,2018-06-19 23:59:59,Active,,,,,,
US30859,B4FG082,Dell Inc.,OptiPlex 3020,Unassigned,,10.148.192.217,Microsoft Windows 7 Professional x64,,,2019-01-07 23:59:59,Active,,,,,,
US30154,B4TL082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.106,Microsoft Windows 7 Professional x64,,,2018-12-30 23:59:59,Active,,,,,,
US30129,B50H082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.79,Microsoft Windows 7 Professional x64,,,2018-12-30 23:59:59,Active,,,,,,
US30290,B65F082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.67,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30289,B68F082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.87,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30276,B6GH082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.138,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30149,B6LF082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.126,Microsoft Windows 7 Professional x64,,,2018-12-30 23:59:59,Active,,,,,,
US30287,B70L082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.99,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30108,B71L082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.108,Microsoft Windows 7 Professional x64,,,2018-12-30 23:59:59,Active,,,,,,
US30302,B7DG082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.114,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30275,B7GG082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.110,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30301,B7HK082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.124,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30318,B7MD082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.105,Microsoft Windows 7 Professional x64,,,2018-12-29 23:59:59,Active,,,,,,
US30730,B8KG082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.82,Microsoft Windows 7 Professional x64,,,2018-12-28 23:59:59,Active,,,,,,
US30743,B8RK082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.103,Microsoft Windows 7 Professional x64,,,2018-12-28 23:59:59,Active,,,,,,
US30739,B8WG082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.120,Microsoft Windows 7 Professional x64,,,2018-12-28 23:59:59,Active,,,,,,
US01644,B9KKK32,Dell Inc.,Latitude E7440,Unassigned,,10.149.144.152,Microsoft Windows 7 Professional x64,,,2018-01-07 23:59:59,Active,,,,,,
US07580,BMPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.100,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
ETX21843,BYN2CZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.135,Microsoft Windows 7 Professional x64,,,2017-02-18 23:59:59,Expired,,,,,,
ETX21855,C0M4CZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.134,Microsoft Windows 7 Professional x64,,,2017-02-18 23:59:59,Expired,,,,,,
ETX21845,C0Z2CZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.146,Microsoft Windows 7 Professional x64,,,2017-02-18 23:59:59,Expired,,,,,,
ETX21851,C2S4CZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.136,Microsoft Windows 7 Professional x64,,,2017-02-18 23:59:59,Expired,,,,,,
ETX21841,C4H3CZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.113,Microsoft Windows 7 Professional x64,,,2017-02-18 23:59:59,Expired,,,,,,
US30157,CD4G082,Dell Inc.,OptiPlex 3020,Unassigned,,10.3.7.127,Microsoft Windows 7 Professional x64,,,2018-12-30 23:59:59,Active,,,,,,
US01648,CQ4TD22,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.156,Microsoft Windows 7 Professional x64,,,2018-03-26 23:59:59,Active,,,,,,
ETX21864,CSC3CZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.70,Microsoft Windows 7 Professional x64,,,2017-01-19 23:59:59,Expired,,,,,,
ETX21863,CSQ4CZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.132,Microsoft Windows 7 Professional x64,,,2017-01-19 23:59:59,Expired,,,,,,
ETX18000,CT43CZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.121,Microsoft Windows 7 Professional x64,,,2017-01-20 23:59:59,Expired,,,,,,
US07577,DGPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.89,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
US06015,FFPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.91,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
ETX21857,G5WBCZ1,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.66,Microsoft Windows 7 Professional x64,,,2017-01-14 23:59:59,Expired,,,,,,
US06003,GLPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.86,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
US07582,HHPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.112,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
US07570,JLH1B42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.69,Microsoft Windows 7 Professional x64,,,2018-03-31 23:59:59,Active,,,,,,
US07571,JM14B42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.152,Microsoft Windows 7 Professional x64,,,2018-03-31 23:59:59,Active,,,,,,
US07583,JMPMV42,Dell Inc.,OptiPlex 9020,Unassigned,,10.3.7.76,Microsoft Windows 7 Professional x64,,,2018-07-14 23:59:59,Active,,,,,,
